Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,YrSold,SaleType,SaleCondition,SalePrice,DiffYearsSaleVSBuild,DiffYearsRemodAddVSBuild,DiffYearsGarageVSBuild,LotShape_agg,LotConfig_agg,Neighborhood_agg,Condition1_agg,OverallCond_agg,OverallQual_agg,Exterior1st_agg,Exterior2nd_agg,HeatingQC_agg,BsmtFullBath_optb,BsmtHalfBath_optb,FullBath_optb,HalfBath_optb,Functional_agg,Fireplaces_optb,FireplaceQu_agg,GarageType_optb,GarageQual_agg,SaleType_optb,SaleCondition_optb,LotShape_ord,LandContour_ord,Utilities_ord,LandSlope_ord,OverallQual_ord,OverallCond_ord,ExterQual_ord,ExterCond_ord,BsmtQual_ord,BsmtCond_ord,HeatingQC_ord,KitchenQual_ord,FireplaceQu_ord,GarageQual_ord,GarageCond_ord,PoolQC_ord,BsmtExposure_ord,BsmtFinType1_ord,BsmtFinType2_ord,Functional_ord,GarageFinish_ord
317,2-STORY 1946 & NEWER,Residential Low Density,94,13005,Paved,nan,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Northwest Ames,Normal,Normal,Single-family Detached,2Story,Good,Good,Gable,Standard (Composite) Shingle,Cement Board,CmentBd,Brick Face,278,Good,Average/Typical,Cinder Block,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,692,Unfinshed,0,153,845,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1153,1200,0,2353,1,0,2,1,4,1,Excellent,10,Typical Functionality,1,Average - Prefabricated Fireplace in main living area or Masonry Fireplace in basement,Attached to home,Rough Finished,2,484,Typical/Average,Typical/Average,Paved,288,195,0,0,0,0,No pool,Good Privacy,No specificity,0,2009,Warranty Deed - Conventional,Normal Sale,260000,29.602739726027398,0.0,3.0027397260273974,Slightly irregular,Corner lot,North Ames,Normal,Good,Good,Cement Board,CmentBd,Average/Typical,"[0.50, inf)","(-inf, 0.50)","[1.50, inf)","[0.50, inf)",Typical Functionality,"[0.50, 1.50)",Average - Prefabricated Fireplace in main living area or Masonry Fireplace in basement,['Attached to home'],Typical/Average,"['Other' 'Contract Low Down' 'Contract Low Down payment and low interest'
 'Court Officer Deed/Estate' 'Warranty Deed - Conventional'
 'Contract Low Interest' 'Warranty Deed - Cash']","['Allocation - two linked properties with separate deeds, typically condo with a garage unit'
 'Normal Sale']",1,1,4,0,6,6,4,3,4,3,3,5,3,3,3,0,1,6,1,8,2
318,2-STORY 1946 & NEWER,Floating Village Residential,75,9000,Paved,nan,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Somerset,Normal,Normal,Single-family Detached,2Story,Very Good,Average,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,No veener,0,Good,Average/Typical,Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Unfinshed,0,Unfinshed,0,1088,1088,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1088,871,0,1959,0,0,2,1,3,1,Good,8,Typical Functionality,1,Good - Masonry Fireplace in main level,Attached to home,Rough Finished,3,1025,Typical/Average,Typical/Average,Paved,208,46,0,0,0,0,No pool,No fence,No specificity,0,2007,Warranty Deed - Conventional,Normal Sale,270000,1.915068493150685,0.0,0.0,Regular,Inside lot,South and west Ames,Normal,Average,Excellent,Vinyl Siding,Vinyl Siding,Excellent,"(-inf, 0.50)","(-inf, 0.50)","[1.50, inf)","[0.50, inf)",Typical Functionality,"[0.50, 1.50)",Good - Masonry Fireplace in main level,['Attached to home'],Typical/Average,"['Other' 'Contract Low Down' 'Contract Low Down payment and low interest'
 'Court Officer Deed/Estate' 'Warranty Deed - Conventional'
 'Contract Low Interest' 'Warranty Deed - Cash']","['Allocation - two linked properties with separate deeds, typically condo with a garage unit'
 'Normal Sale']",0,1,4,0,7,4,4,3,4,3,5,4,4,3,3,0,3,1,1,8,2
319,2-STORY 1946 & NEWER,Residential Low Density,90,9900,Paved,nan,Regular,Depression,"All public Utilities (E,G,W,& S)",Inside lot,Moderate Slope,Northridge,Normal,Normal,Single-family Detached,2Story,Good,Average,Gable,Standard (Composite) Shingle,Hard Board,Hard Board,Brick Face,256,Good,Average/Typical,Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed,Good Exposure,Good Living Quarters,987,Unfinshed,0,360,1347,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1372,1274,0,2646,1,0,2,1,4,1,Good,9,Typical Functionality,1,Average - Prefabricated Fireplace in main living area or Masonry Fireplace in basement,Attached to home,Rough Finished,3,656,Typical/Average,Typical/Average,Paved,340,60,144,0,0,0,No pool,No fence,No specificity,0,2009,Warranty Deed - Conventional,Normal Sale,260000,16.257534246575343,0.0,0.0,Regular,Inside lot,North Ames,Normal,Average,Good,Wood-Based Siding,Wood-Based Siding,Excellent,"[0.50, inf)","(-inf, 0.50)","[1.50, inf)","[0.50, inf)",Typical Functionality,"[0.50, 1.50)",Average - Prefabricated Fireplace in main living area or Masonry Fireplace in basement,['Attached to home'],Typical/Average,"['Other' 'Contract Low Down' 'Contract Low Down payment and low interest'
 'Court Officer Deed/Estate' 'Warranty Deed - Conventional'
 'Contract Low Interest' 'Warranty Deed - Cash']","['Allocation - two linked properties with separate deeds, typically condo with a garage unit'
 'Normal Sale']",0,0,4,1,6,4,4,3,4,3,5,4,3,3,3,0,4,6,1,8,2
320,SPLIT OR MULTI-LEVEL,Residential Low Density,0,14115,Paved,nan,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Northwest Ames,Normal,Normal,Single-family Detached,SLvl,Good,Average,Gable,Standard (Composite) Shingle,Plywood,Plywood,Brick Face,225,Average/Typical,Average/Typical,Cinder Block,Good (90-99 inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Good Living Quarters,1036,Unfinshed,0,336,1372,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1472,0,0,1472,1,0,2,0,3,1,Typical/Average,6,Typical Functionality,2,Average - Prefabricated Fireplace in main living area or Masonry Fireplace in basement,Attached to home,Unfinished,2,588,Typical/Average,Typical/Average,Paved,233,48,0,0,0,0,No pool,No fence,No specificity,0,2009,Warranty Deed - Conventional,Normal Sale,187500,29.435616438356163,0.0,0.0,Regular,Inside lot,North Ames,Normal,Average,Good,Wood-Based Siding,Wood-Based Siding,Average/Typical,"[0.50, inf)","(-inf, 0.50)","[1.50, inf)","(-inf, 0.50)",Typical Functionality,"[1.50, inf)",Average - Prefabricated Fireplace in main living area or Masonry Fireplace in basement,['Attached to home'],Typical/Average,"['Other' 'Contract Low Down' 'Contract Low Down payment and low interest'
 'Court Officer Deed/Estate' 'Warranty Deed - Conventional'
 'Contract Low Interest' 'Warranty Deed - Cash']","['Allocation - two linked properties with separate deeds, typically condo with a garage unit'
 'Normal Sale']",0,1,4,0,6,4,3,3,4,3,3,3,3,3,3,0,3,6,1,8,1
321,2-STORY 1946 & NEWER,Residential Low Density,111,16259,Paved,nan,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Northridge Heights,Normal,Normal,Single-family Detached,2Story,Excellent,Average,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,Stone,370,Average/Typical,Average/Typical,Poured Contrete,Excellent (100+ inches),Good,Average Exposure (split levels or foyers typically score average or above),Unfinshed,0,Unfinshed,0,1249,1249,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1249,1347,0,2596,0,0,3,1,4,1,Good,9,Typical Functionality,0,No fireplace,Attached to home,Rough Finished,3,840,Typical/Average,Typical/Average,Paved,240,154,0,0,0,0,No pool,No fence,No specificity,0,2006,Home just constructed and sold,Home was not completed when last assessed (associated with New Homes),342643,0.6657534246575343,0.0,0.0,Regular,Corner lot,North Ames,Normal,Average,Excellent,Vinyl Siding,Vinyl Siding,Excellent,"(-inf, 0.50)","(-inf, 0.50)","[1.50, inf)","[0.50, inf)",Typical Functionality,"(-inf, 0.50)",No fireplace,['Attached to home'],Typical/Average,"['Contract 15% Down payment regular terms'
 'Home just constructed and sold']",['Home was not completed when last assessed (associated with New Homes)'],0,1,4,0,8,4,3,3,5,4,5,4,0,3,3,0,3,1,1,8,2
322,2-STORY 1946 & NEWER,Residential Low Density,99,12099,Paved,nan,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Northridge Heights,Normal,Normal,Single-family Detached,2Story,Very Good,Average,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,Brick Face,388,Good,Average/Typical,Poured Contrete,Excellent (100+ inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Good Living Quarters,970,Unfinshed,0,166,1136,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1136,1332,0,2468,1,0,2,1,4,1,Good,10,Typical Functionality,1,Good - Masonry Fireplace in main level,Built-In (Garage part of house - typically has room above garage),Finished,3,872,Typical/Average,Typical/Average,Paved,184,154,0,0,0,0,No pool,No fence,No specificity,0,2007,Warranty Deed - Conventional,Normal Sale,354000,3.4164383561643836,0.0,0.0,Slightly irregular,Inside lot,North Ames,Normal,Average,Excellent,Vinyl Siding,Vinyl Siding,Excellent,"[0.50, inf)","(-inf, 0.50)","[1.50, inf)","[0.50, inf)",Typical Functionality,"[0.50, 1.50)",Good - Masonry Fireplace in main level,['Built-In (Garage part of house - typically has room above garage)'],Typical/Average,"['Other' 'Contract Low Down' 'Contract Low Down payment and low interest'
 'Court Officer Deed/Estate' 'Warranty Deed - Conventional'
 'Contract Low Interest' 'Warranty Deed - Cash']","['Allocation - two linked properties with separate deeds, typically condo with a garage unit'
 'Normal Sale']",1,1,4,0,7,4,4,3,5,3,5,4,4,3,3,0,3,6,1,8,3
323,2-STORY 1946 & NEWER,Residential Low Density,86,10380,Paved,nan,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Sawyer West,Normal,Normal,Single-family Detached,2Story,Good,Average,Gable,Standard (Composite) Shingle,Plywood,Plywood,Brick Face,172,Good,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Good Exposure,Low Quality,28,Average Living Quarters,1474,0,1502,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1553,1177,0,2730,1,0,2,1,4,1,Good,8,Typical Functionality,1,Average - Prefabricated Fireplace in main living area or Masonry Fireplace in basement,Attached to home,Finished,2,576,Typical/Average,Typical/Average,Paved,201,96,0,0,0,0,No pool,Minimum Privacy,No specificity,0,2007,Warranty Deed - Conventional,Normal Sale,301000,21.594520547945205,1.0,1.0,Slightly irregular,Inside lot,South and west Ames,Normal,Average,Good,Wood-Based Siding,Wood-Based Siding,Excellent,"[0.50, inf)","(-inf, 0.50)","[1.50, inf)","[0.50, inf)",Typical Functionality,"[0.50, 1.50)",Average - Prefabricated Fireplace in main living area or Masonry Fireplace in basement,['Attached to home'],Typical/Average,"['Other' 'Contract Low Down' 'Contract Low Down payment and low interest'
 'Court Officer Deed/Estate' 'Warranty Deed - Conventional'
 'Contract Low Interest' 'Warranty Deed - Cash']","['Allocation - two linked properties with separate deeds, typically condo with a garage unit'
 'Normal Sale']",1,1,4,0,6,4,4,3,3,3,5,4,3,3,3,0,4,2,5,8,3
324,1-STORY 1946 & NEWER ALL STYLES,Residential Medium Density,49,5820,Paved,nan,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Old Town,Normal,Normal,Single-family Detached,One story,Fair,Very Good,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,No veener,0,Average/Typical,Good,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Living Quarters,256,Unfinshed,0,906,1162,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1163,0,0,1163,1,0,1,0,3,1,Typical/Average,6,Typical Functionality,0,No fireplace,Attached to home,Unfinished,1,220,Fair,Typical/Average,Paved,142,98,0,0,0,0,No pool,No fence,No specificity,0,2006,Warranty Deed - Conventional,Normal Sale,126175,51.53150684931507,50.035616438356165,0.0,Regular,Inside lot,Center and university,Normal,Excellent,Poor,Vinyl Siding,Vinyl Siding,Excellent,"[0.50, inf)","(-inf, 0.50)","(-inf, 1.50)","(-inf, 0.50)",Typical Functionality,"(-inf, 0.50)",No fireplace,['Attached to home'],Fair,"['Other' 'Contract Low Down' 'Contract Low Down payment and low interest'
 'Court Officer Deed/Estate' 'Warranty Deed - Conventional'
 'Contract Low Interest' 'Warranty Deed - Cash']","['Allocation - two linked properties with separate deeds, typically condo with a garage unit'
 'Normal Sale']",0,1,4,0,2,7,3,4,3,3,5,3,0,2,3,0,1,5,1,8,1
325,SPLIT OR MULTI-LEVEL,Residential Low Density,96,11275,Paved,nan,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,North Ames,"Near positive off-site feature--park, greenbelt, etc.",Normal,Single-family Detached,SLvl,Good,Good,Mansard,Wood Shakes,Wood Siding,Wood Siding,Brick Face,300,Good,Good,Cinder Block,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Unfinshed,0,Unfinshed,0,710,710,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1898,1080,0,2978,0,0,2,1,5,1,Good,11,Typical Functionality,1,Good - Masonry Fireplace in main level,Built-In (Garage part of house - typically has room above garage),Finished,2,564,Typical/Average,Typical/Average,Paved,240,0,0,0,0,0,No pool,No fence,No specificity,0,2010,Warranty Deed - Conventional,Normal Sale,242000,43.443835616438356,40.02739726027397,-6.002739726027397,Regular,Corner lot,North Ames,Near positive off-site,Good,Good,Wood-Based Siding,Wood-Based Siding,Excellent,"(-inf, 0.50)","(-inf, 0.50)","[1.50, inf)","[0.50, inf)",Typical Functionality,"[0.50, 1.50)",Good - Masonry Fireplace in main level,['Built-In (Garage part of house - typically has room above garage)'],Typical/Average,"['Other' 'Contract Low Down' 'Contract Low Down payment and low interest'
 'Court Officer Deed/Estate' 'Warranty Deed - Conventional'
 'Contract Low Interest' 'Warranty Deed - Cash']","['Allocation - two linked properties with separate deeds, typically condo with a garage unit'
 'Normal Sale']",0,1,4,0,6,6,4,4,4,3,5,4,4,3,3,0,1,1,1,8,3
326,1-1/2 STORY - UNFINISHED ALL AGES,Residential Medium Density,50,5000,Paved,nan,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Iowa DOT and Rail Road,Adjacent to East-West Railroad,Normal,Single-family Detached,1.5Unf,Average,Above Average,Gable,Standard (Composite) Shingle,Metal Siding,Metal Siding,No veener,0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Below Average Living Quarters,116,Unfinshed,0,604,720,Gas forced warm air furnace,Poor,No,60 AMP Fuse Box and mostly Romex wiring (Fair),803,0,0,803,0,0,1,0,2,1,Typical/Average,5,Typical Functionality,0,No fireplace,Detached from home,Unfinished,2,360,Typical/Average,Typical/Average,Paved,0,0,244,0,0,0,No pool,No fence,No specificity,0,2007,Warranty Deed - Conventional,Normal Sale,87000,66.95890410958904,9.005479452054795,0.0,Regular,Inside lot,Est Ames,Adjacent to a Railroad,Above Average,Average,Metal Siding,Metal Siding,Fair,"(-inf, 0.50)","(-inf, 0.50)","(-inf, 1.50)","(-inf, 0.50)",Typical Functionality,"(-inf, 0.50)",No fireplace,['Detached from home' 'More than one type of garage' 'Basement Garage'],Typical/Average,"['Other' 'Contract Low Down' 'Contract Low Down payment and low interest'
 'Court Officer Deed/Estate' 'Warranty Deed - Conventional'
 'Contract Low Interest' 'Warranty Deed - Cash']","['Allocation - two linked properties with separate deeds, typically condo with a garage unit'
 'Normal Sale']",0,1,4,0,4,5,3,3,3,3,1,3,0,3,3,0,3,4,1,8,1
327,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Low Density,32,10846,Paved,nan,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Cul-de-sac,Gentle slope,Veenker,Normal,Normal,Townhouse End Unit,One story,Very Good,Average,Gable,Standard (Composite) Shingle,Brick Face,Brick Face,No veener,0,Good,Average/Typical,Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed,Good Exposure,Good Living Quarters,1619,Unfinshed,0,100,1719,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1719,0,0,1719,2,0,1,1,1,1,Good,6,Typical Functionality,2,Good - Masonry Fireplace in main level,Attached to home,Finished,2,473,Typical/Average,Typical/Average,Paved,122,30,0,0,0,0,No pool,No fence,No specificity,0,2008,Contract 15% Down payment regular terms,Normal Sale,324000,15.33972602739726,0.0,0.0,Slightly irregular,Cul-de-sac,High-End Residential Areas,Normal,Average,Excellent,Brick or Stone Façade,Brick or Stone Façade,Excellent,"[0.50, inf)","(-inf, 0.50)","(-inf, 1.50)","[0.50, inf)",Typical Functionality,"[1.50, inf)",Good - Masonry Fireplace in main level,['Attached to home'],Typical/Average,"['Contract 15% Down payment regular terms'
 'Home just constructed and sold']","['Allocation - two linked properties with separate deeds, typically condo with a garage unit'
 'Normal Sale']",1,1,4,0,7,4,4,3,4,3,5,4,4,3,3,0,4,6,1,8,3
328,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,80,11600,Paved,nan,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,North Ames,Normal,Normal,Single-family Detached,One story,Above Average,Average,Hip,Standard (Composite) Shingle,Wood Siding,Wood Siding,Brick Face,175,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Rec Room,565,Unfinshed,0,818,1383,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1383,0,0,1383,0,0,1,1,3,1,Typical/Average,7,Typical Functionality,0,No fireplace,Attached to home,Rough Finished,1,292,Typical/Average,Typical/Average,Paved,0,45,0,0,0,0,No pool,No fence,No specificity,0,2006,Warranty Deed - Conventional,Normal Sale,145250,46.27945205479452,0.0,0.0,Regular,Inside lot,North Ames,Normal,Average,Above Average,Wood-Based Siding,Wood-Based Siding,Average/Typical,"(-inf, 0.50)","(-inf, 0.50)","(-inf, 1.50)","[0.50, inf)",Typical Functionality,"(-inf, 0.50)",No fireplace,['Attached to home'],Typical/Average,"['Other' 'Contract Low Down' 'Contract Low Down payment and low interest'
 'Court Officer Deed/Estate' 'Warranty Deed - Conventional'
 'Contract Low Interest' 'Warranty Deed - Cash']","['Allocation - two linked properties with separate deeds, typically condo with a garage unit'
 'Normal Sale']",0,1,4,0,5,4,3,3,3,3,3,3,0,3,3,0,1,3,1,8,2
329,2-1/2 STORY ALL AGES,Residential Low Density,0,11888,Paved,Paved,Slightly irregular,Banked - Quick and significant rise from street grade to building,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Brookside,"Near positive off-site feature--park, greenbelt, etc.",Normal,Single-family Detached,2.5Unf,Above Average,Above Average,Gable,Standard (Composite) Shingle,Wood Siding,Wd Shng,No veener,0,Average/Typical,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinshed,0,Unfinshed,0,844,844,Gas forced warm air furnace,Good,No,Fuse Box over 60 AMP and all Romex wiring (Average),1445,689,0,2134,0,0,2,0,5,1,Good,10,Typical Functionality,0,No fireplace,Detached from home,Unfinished,2,441,Typical/Average,Typical/Average,Paved,0,60,268,0,0,0,No pool,No fence,No specificity,0,2009,Warranty Deed - Conventional,Normal Sale,214500,93.56164383561644,78.05479452054794,14.01095890410959,Slightly irregular,Inside lot,Green and Natural Areas,Near positive off-site,Above Average,Above Average,Wood-Based Siding,Wd Shng,Good,"(-inf, 0.50)","(-inf, 0.50)","[1.50, inf)","(-inf, 0.50)",Typical Functionality,"(-inf, 0.50)",No fireplace,['Detached from home' 'More than one type of garage' 'Basement Garage'],Typical/Average,"['Other' 'Contract Low Down' 'Contract Low Down payment and low interest'
 'Court Officer Deed/Estate' 'Warranty Deed - Conventional'
 'Contract Low Interest' 'Warranty Deed - Cash']","['Allocation - two linked properties with separate deeds, typically condo with a garage unit'
 'Normal Sale']",1,2,4,0,5,5,3,3,3,3,4,4,0,3,3,0,1,1,1,8,1
330,2-STORY 1945 & OLDER,Residential Medium Density,60,6402,Paved,nan,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Iowa DOT and Rail Road,Normal,Normal,Single-family Detached,2Story,Average,Average,Gable,Standard (Composite) Shingle,Wood Siding,Wd Shng,No veener,0,Average/Typical,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,Mimimum Exposure,Unfinshed,0,Unfinshed,0,596,596,Gas forced warm air furnace,Average/Typical,No,Standard Circuit Breakers & Romex,596,596,0,1192,0,0,1,0,3,1,Typical/Average,6,Typical Functionality,0,No fireplace,Detached from home,Unfinished,1,189,Fair,Fair,Dirt/Gravel,0,0,137,0,0,0,No pool,Good Wood,No specificity,0,2009,Warranty Deed - Conventional,Normal Sale,78000,89.55890410958904,30.02191780821918,0.0,Regular,Corner lot,Est Ames,Normal,Average,Average,Wood-Based Siding,Wd Shng,Average/Typical,"(-inf, 0.50)","(-inf, 0.50)","(-inf, 1.50)","(-inf, 0.50)",Typical Functionality,"(-inf, 0.50)",No fireplace,['Detached from home' 'More than one type of garage' 'Basement Garage'],Fair,"['Other' 'Contract Low Down' 'Contract Low Down payment and low interest'
 'Court Officer Deed/Estate' 'Warranty Deed - Conventional'
 'Contract Low Interest' 'Warranty Deed - Cash']","['Allocation - two linked properties with separate deeds, typically condo with a garage unit'
 'Normal Sale']",0,1,4,0,4,4,3,3,3,3,3,3,0,2,2,0,2,1,1,8,1
331,DUPLEX - ALL STYLES AND AGES,Residential Low Density,0,10624,Paved,nan,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,North Ames,Normal,Normal,Duplex,One story,Average,Below Average,Gable,Standard (Composite) Shingle,Hard Board,Hard Board,Brick Face,84,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,40,Average Rec Room,264,1424,1728,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1728,0,0,1728,0,1,2,0,6,2,Typical/Average,10,Typical Functionality,0,No fireplace,Detached from home,Unfinished,1,352,Typical/Average,Typical/Average,Paved,155,0,0,0,0,0,No pool,No fence,No specificity,0,2007,Warranty Deed - Conventional,Normal Sale,119000,43.863013698630134,0.0,38.02739726027397,Slightly irregular,Inside lot,North Ames,Normal,Below Average,Average,Wood-Based Siding,Wood-Based Siding,Average/Typical,"(-inf, 0.50)","[0.50, inf)","[1.50, inf)","(-inf, 0.50)",Typical Functionality,"(-inf, 0.50)",No fireplace,['Detached from home' 'More than one type of garage' 'Basement Garage'],Typical/Average,"['Other' 'Contract Low Down' 'Contract Low Down payment and low interest'
 'Court Officer Deed/Estate' 'Warranty Deed - Conventional'
 'Contract Low Interest' 'Warranty Deed - Cash']","['Allocation - two linked properties with separate deeds, typically condo with a garage unit'
 'Normal Sale']",1,1,4,0,4,3,3,3,3,3,3,3,0,3,3,0,1,6,3,8,1
332,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,70,8176,Paved,nan,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,North Ames,Normal,Normal,Single-family Detached,One story,Average,Above Average,Gable,Standard (Composite) Shingle,Wood Siding,Wood Siding,No veener,0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Rec Room,846,Unfinshed,0,210,1056,Gas forced warm air furnace,Fair,Yes,Standard Circuit Breakers & Romex,1056,0,0,1056,1,0,1,0,3,1,Typical/Average,6,Typical Functionality,0,No fireplace,Attached to home,Rough Finished,1,308,Typical/Average,Typical/Average,Paved,0,0,0,0,0,0,No pool,No fence,No specificity,0,2007,Warranty Deed - Conventional,Normal Sale,139000,49.61369863013699,34.02191780821918,0.0,Regular,Inside lot,North Ames,Normal,Above Average,Average,Wood-Based Siding,Wood-Based Siding,Fair,"[0.50, inf)","(-inf, 0.50)","(-inf, 1.50)","(-inf, 0.50)",Typical Functionality,"(-inf, 0.50)",No fireplace,['Attached to home'],Typical/Average,"['Other' 'Contract Low Down' 'Contract Low Down payment and low interest'
 'Court Officer Deed/Estate' 'Warranty Deed - Conventional'
 'Contract Low Interest' 'Warranty Deed - Cash']","['Allocation - two linked properties with separate deeds, typically condo with a garage unit'
 'Normal Sale']",0,1,4,0,4,5,3,3,3,3,2,3,0,3,3,0,1,3,1,8,2
333,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,85,10655,Paved,nan,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Northridge Heights,Normal,Normal,Single-family Detached,One story,Very Good,Average,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,Brick Face,296,Good,Average/Typical,Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,1124,No basement,479,1603,3206,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1629,0,0,1629,1,0,2,0,3,1,Good,7,Typical Functionality,1,Good - Masonry Fireplace in main level,Attached to home,Rough Finished,3,880,Typical/Average,Typical/Average,Paved,0,0,0,0,0,0,No pool,No fence,No specificity,0,2009,Warranty Deed - Conventional,Normal Sale,284000,6.7534246575342465,1.0,0.0,Slightly irregular,Inside lot,North Ames,Normal,Average,Excellent,Vinyl Siding,Vinyl Siding,Excellent,"[0.50, inf)","(-inf, 0.50)","[1.50, inf)","(-inf, 0.50)",Typical Functionality,"[0.50, 1.50)",Good - Masonry Fireplace in main level,['Attached to home'],Typical/Average,"['Other' 'Contract Low Down' 'Contract Low Down payment and low interest'
 'Court Officer Deed/Estate' 'Warranty Deed - Conventional'
 'Contract Low Interest' 'Warranty Deed - Cash']","['Allocation - two linked properties with separate deeds, typically condo with a garage unit'
 'Normal Sale']",1,1,4,0,7,4,4,3,4,3,5,4,4,3,3,0,1,6,0,8,2
